Grid size:            8          16           8
Rayleigh Number:      0.1780E+04
Prandtl Number:      0.7005E+01
delta_T:      0.4324E+00
SIMPLER Algorithm Duration:     0.1323E+01
 Solver #:           2
 R_c, dR_c, R_e, dR_e
 0.17235E-02, 0.10000E+01, 0.10782E-05, 0.10000E+01
 0.17515E-02, 0.15959E-01, 0.81531E-04, 0.98678E+00
 0.17945E-02, 0.23977E-01, 0.11759E-03, 0.30667E+00
 0.18662E-02, 0.38409E-01, 0.13278E-03, 0.11439E+00
 0.21069E-02, 0.11423E+00, 0.13743E-03, 0.33825E-01
 0.23133E-02, 0.89227E-01, 0.13611E-03, 0.96999E-02
 0.24909E-02, 0.71318E-01, 0.13142E-03, 0.35657E-01
 0.26444E-02, 0.58054E-01, 0.12452E-03, 0.55409E-01
 0.27776E-02, 0.47936E-01, 0.11643E-03, 0.69509E-01
 0.28933E-02, 0.40010E-01, 0.10767E-03, 0.81331E-01
 0.29943E-02, 0.33719E-01, 0.98702E-04, 0.90903E-01
 0.30826E-02, 0.28637E-01, 0.90021E-04, 0.96432E-01
 0.31600E-02, 0.24503E-01, 0.81668E-04, 0.10229E+00
 0.32282E-02, 0.21118E-01, 0.73941E-04, 0.10450E+00
 0.32884E-02, 0.18327E-01, 0.66758E-04, 0.10759E+00
 0.33420E-02, 0.16022E-01, 0.60328E-04, 0.10659E+00
 0.33898E-02, 0.14110E-01, 0.54487E-04, 0.10719E+00
 0.34328E-02, 0.12529E-01, 0.49380E-04, 0.10344E+00
 0.34718E-02, 0.11216E-01, 0.44839E-04, 0.10127E+00
 0.35073E-02, 0.10123E-01, 0.41128E-04, 0.90237E-01
 0.35399E-02, 0.92210E-02, 0.37663E-04, 0.91978E-01
 0.35702E-02, 0.84871E-02, 0.34732E-04, 0.84408E-01
 0.35985E-02, 0.78583E-02, 0.32037E-04, 0.84096E-01
 0.36252E-02, 0.73551E-02, 0.29780E-04, 0.75789E-01
 0.36505E-02, 0.69286E-02, 0.27848E-04, 0.69389E-01
 0.36747E-02, 0.65901E-02, 0.25986E-04, 0.71676E-01
 0.36980E-02, 0.63176E-02, 0.24482E-04, 0.61395E-01
 0.37207E-02, 0.60948E-02, 0.24339E-04, 0.58867E-02
